ID,Band_Name,Country,Band_Status,Band_Formation,Band_Genre,Band_Theme,Band_Active_Status
619,Impact,Poland,Split-up,N/A,Alternative,N/A,N/A
620,Impale,Japan,Split-up,2004,Alternative,N/A,2004-?
621,Impale Jesus,Bulgaria,Split-up,1996,Pop,N/A,1996-1997
622,Impaled,Czech Republic,Split-up,N/A,Alternative,N/A,N/A
623,Impaled,United States,Active,1995,Pop,Surgery| Gore| Excrements| Medical Flaws| Humor,1995-present
624,Impaled Adultery,Italy,Active,2007,Alternative,Perversions| Blood| Death| God| Violence,2007-present
625,Impaled Crucifixion,Sweden,Unknown,2005,Rock,N/A,2005-?
626,Impalement,Canada,Split-up,2010,Alternative,Humanity| Death| Psychological Struggles,2010-2014
627,Impalement,Netherlands,Active,2005,Pop,Brutality| Death| Politics| Sickness,2005-present
628,Impaler,United Kingdom,Split-up,1991,Alternative,Carnage| Horror| Death,1989-1991 (as Carnage)| 1991-?
629,Imparage,Germany,Split-up,2001,Alternative,Psychopathic thoughts| suicide| aggression| pain,2001-?
630,Imperator,Poland,Split-up,1984,Pop,Anti-Christianity| The Necronomicon,1984-1993| 1995| 1998-2000
631,Imperial Ceremony,Venezuela,Active,2007,Alternative,Real Life| Fiction| Abstractions,2007-present
632,Imperial Decay,United States,Active,2005,Alternative,N/A,2005-present
633,Imperial Devastation,Brazil,On hold,1999,Alternative,Destruction| Devastation,1999-?
634,Imperial Doom,Brazil,Split-up,1994,Rock,N/A,1994-?
635,Imperial Empire,United Kingdom,Active,1999,Rock,Darkness| Death| Armageddon,1999-present
636,Imperial Savagery,United States,Active,2013,Alternative,Evil| Darkness| Anti-Christian themes,2013-present
637,Imperial Stench,Germany,Split-up,2007,Rock,Gore| Zombies| Death| Mankind,2007-2010
638,Imperio del Averno,Peru,Split-up,1992,Alternative,N/A,1992-1995
639,Imperium,United Kingdom,Active,2013,Pop,Death| Horror,2013-present
640,Impetuous Rage,Brazil,Changed name,2001,Alternative,Anti-Christianity| Unholy,2001-2009| 2009-present (as Poisonous)
641,Impetuous Ritual,Australia,Active,2006,Adult Alternative,Occultism| Blasphemy,2006-present
642,Impherion,Russia,Active,2009,Alternative,N/A,2009-present
643,Impherya,Italy,On hold,2000,Alternative,Death| Religion,2000-present
644,Impiety,United States,Split-up,1991,Alternative,N/A,1991-?
645,Impios,Brazil,Active,2007,Alternative,Death| Anti-religion| Chaos,2007-present
646,Impious,Indonesia,Split-up,1996,Dance,N/A,1996-?
647,Impious Vomit,Chile,Active,N/A,Alternative,Satan| Chaos| Merciless death,N/A
648,Implement,Brazil,Active,2002,Alternative,Christianity| Society,2002 (as Exemplo)| 2002-present
649,Imposed Silence,Finland,Changed name,1993,Alternative,Misanthropy| Death| Armageddon| Evil,1993-1995| 1996-2000 (as Shadows of Sunset)| 2000-2004 (as Torn)
650,Imposer,Italy,Active,2000,Alternative,War| History| Supremacy| Death,2000-present
651,Imprecated Destiny,Austria,Split-up,1994,Alternative,N/A,1994-?
652,Imprecation,United States,Active,1991,Alternative,Occultism| Satanism| Gore,1991-1998| 2009-present
653,Imprisoned in Flesh,Netherlands,Active,2011,Alternative,Human Atrocities,2011-present
654,Impulsive Disembowelment,United States,Changed name,2007,Alternative,Christianity| Anti-Abortion,2007-2008| 2008-2009 (as Necroptic Remnants)| 2009-present (as The Exhumation)
655,Impure,Germany,Split-up,1997,Alternative,Misanthropy| Suffering| Torment,1997-2004
656,Impure,Netherlands,Split-up,1995,Alternative,N/A,1995-?
657,Impure,United States,Split-up,1992,Alternative,N/A,1992-?
658,Impure Consecration,United States,Active,N/A,Alternative,N/A,N/A
659,Impurity,Poland,Split-up,1987,Alternative,Pain| Suffering,1987-1989 (as Damnation)| 1989-1994
660,Impurity,United States,Active,1998,Alternative,Death| Despair| Hindu Mythology| Battles| Demons,1998-present
661,Impurium,Ireland,Unknown,N/A,Alternative,N/A,N/A
662,In Abeyance,Germany,Split-up,1994,Alternative,N/A,1994-?
663,In Articulo Mortis,Czech Republic,Split-up,1992,Alternative,N/A,1992-?
664,In Articulo Mortis,Mexico,Unknown,2004,Alternative,Death| Hate| Suffer| Misanthropy,2004-?
665,In Cauda Venenum,France,Active,2003,Alternative,N/A,2003-present
666,In Crimson Ruin,United Kingdom,Split-up,2006,Alternative,N/A,2006-?
667,In Darkest Dreams,United States,Active,N/A,Alternative,Christianity,N/A
668,In Extremis,Ukraine,Split-up,N/A,Alternative,N/A,N/A
669,In Hell,Brazil,Split-up,1992,Alternative,Death| Torture,1992-?
670,In No Sense,Austria,Split-up,2002,Alternative,Illusion| irrationality,2002-?
671,In Nomine,Brazil,Split-up,2001,Alternative,Death| Ruins of Society,2001-?
672,In Nomine,Sweden,Split-up,N/A,Alternative,N/A,N/A
673,In Obscurity Revealed,Mexico,Active,2014,Alternative,Death| Chaos| Occultism,2014-present
674,In Pain,Sweden,Active,1992,Alternative,Gore| Death| War,1992-1994| 1998-present
675,In the Arms of Satan,United States,Split-up,2003,Rock,Comedy,2003-?
676,In the Burial,Australia,Active,2007,Alternative,N/A,2007-present
677,In Utero Cannibalism,Greece,Active,2004,Alternative,Gore| Death| Killing| Mutilation| Corpses,2004-present
678,In Vain,United States,Split-up,N/A,Alternative,N/A,N/A
679,In Vein,Thailand,Active,2005,Alternative,Blood| Hate| Butchery,2005-present
680,In-Defilade,United States,Active,2009,Alternative,N/A,2009-present
681,In:Extremis,Australia,Split-up,1993,Alternative,N/A,1993-1995 (as Inextremis)| 1995-2000
682,Inanimacy,Australia,Active,2011,Alternative,N/A,2011-present
683,Inanimate,Sweden,Active,2009,Alternative,N/A,2009-present
684,Inanna,Chile,Active,2000,Rock,Myths| Mankind| Insanity,2000-present
685,Inborn,United States,On hold,1992,Rock,Time travel| bodily fluids| science fiction,1992-?
686,Inborned Lycanthropy,Czech Republic,Active,2006,Rock,N/A,2006-present
687,Inbreeding Rednecks,Denmark,Active,2008,Rock,Gore| Death (early)| Politics| Life (later),2008-present
688,Incantation,United States,Active,1989,Rock,Satanism| Occultism| Anti-Christianity| Blasphemy,1989-present
689,Incantum Dilemma,Romania,Split-up,1994,Rock,N/A,1994-?
690,Incarceration,Brazil,Active,2010,Rock,N/A,2010-present
691,Incardine,Sweden,Split-up,N/A,Rock,N/A,N/A
692,Incarnal,Poland,Active,2010,Rock,Middle Ages| Philosophy,2010-present
693,Incarnate,Czech Republic,Active,2004,Rock,N/A,1993-? (as Sordid)| ?-? (as Thanatos)| ?-? (as Gutted)| ?-2004 (as Testification)| 2004-present
694,Insanity Mind,Spain,Split-up,1993,Rock,Death| Gore| Madness,1993-?
695,Insannity,Brazil,Active,2005,Alternative,N/A,2005-present
696,Insepulto,Costa Rica,Active,1993,Rock,Death,1993-?| 2008-present
697,Insepultus,Slovakia,Split-up,1990,Alternative,N/A,1990-?
698,Inset,Poland,Active,2011,Rock,Death,2011-present
699,Inside Dead,Russia,Split-up,1992,Alternative,N/A,1992-?
700,Inside Hatred,Brazil,Active,2004,Rock,Anti-Christianity| Death| Fear| Alienation,2004-present
701,Insidious,Argentina,Active,2011,Rock,N/A,2011-present
702,Insidius,Poland,Active,1990,Rock,N/A,1990-1992| 2010-present
703,Insinner,Malaysia,Active,2013,Rock,Death| Pain| Decay| Evil| Misanthropy,2013-present
704,Insolence,Germany,Split-up,2005,Rock,Hatred| Domination| Genocide,2005-?
705,Insolent,Czech Republic,Split-up,2003,Alternative,Anti-Christian,2003-?
706,InSolitude,Sweden,Active,2001,Rock,Solitude| Winter| Life,2001-present
707,Insolitum,Brazil,Active,2009,Rock,Satanism| Hate| Darkness,2009-present
708,Insomnia,Belarus,Split-up,N/A,Rock,N/A,N/A
709,Instant,Finland,Active,2015,Rock,N/A,2015-present
710,Instruction Killer,Indonesia,Active,2010,Rock,N/A,2010-present
711,Insult,Sweden,Active,2004,Rock,N/A,2004-present
712,Insurrection,Brazil,Split-up,1992,Rock,N/A,1992-?
713,Insurrection,Canada,Active,2003,Alternative,Politics| Society| Life| Struggles,2003-present
714,Insurrection,South Africa,Split-up,1991,Alternative,Death,1991-?
715,Intemperence,Norway,Changed name,2006,Alternative,N/A,2006-2010| 2010-present (as Mammon)
716,Intense,Hungary,Split-up,1996,Alternative,N/A,1990-1996 (as Intense Agonizing)| 1996-?
717,Intense Desire to Kill,Brazil,Active,N/A,Alternative,N/A,N/A
718,Intercranial Tremors,Australia,Active,N/A,Alternative,N/A,N/A
719,Interfectorem,Austria,Split-up,2011,Alternative,N/A,2011-2014
720,Interior of Death,Poland,Active,1998,Alternative,N/A,1997-1998 (as Suffer)| 1998-present
721,Interitus Dei,Germany,Split-up,N/A,Alternative,N/A,N/A
722,Interium,Brazil,Active,2000,Alternative,Anti-Christianity| Inner Thoughts| Death| War,2000-present
723,Interment,Finland,Split-up,1989,Alternative,Gore| Death,1989-?
724,Interment,Latvia,Split-up,2003,Alternative,N/A,2003-?
725,Interment,Sweden,Active,1990,Alternative,Morbidity| Death| Evil| Darkness,1988-1990 (as Beyond)| 1990-1994| 2002-present
726,Interment,United States,Active,1991,Alternative,N/A,1991-1994| 2009-present
727,Internal Augmentation,Australia,Split-up,2004,Rock,Death| Apocalypse| Suicide,2004-?
728,Internal Bleed,Brazil,Active,2006,Alternative,Flesh| Death| Gore,2006-present
729,Internal Bleeding,Italy,Changed name,1992,Dance,N/A,1992-1994| 1994 (as Carnal Rapture)| 2004-present (as Carnal Rapture)
730,Internal Corpse Attack,United Kingdom,Split-up,N/A,Pop,N/A,N/A
731,Internal Decapitation,United States,Split-up,2009,Alternative,N/A,2009-2014
732,Internal Decay,Germany,Split-up,1991,Dance,N/A,1991-?
733,Internal Decay,Sweden,Active,1991,Alternative adulte,Depression| Sorrow| Despair| Darkness,1987-1988 (as Misery)| 1988-1989 (as Critical State)| 1989-1991 (as Subliminal Fear)| 1991-1994| 2009-present
734,Internal Fear,United States,Unknown,2007,Alternative,N/A,2007-?
735,Internal Lesions,France,Active,2010,Alternative,Autodestructive attitude| Anti-social beliefs| Burnout,2010-present
736,Internaldeath,Brazil,Active,2013,Dance,Murder| Suicide| Slaughter| War,2013-present
737,Internecine,United States,Split-up,1997,Films de concerts,Anti-Christian| Occult,1997-2000
738,Internecine Excoriation,Australia,Split-up,2005,Bande originale,N/A,2005-?
739,Intestate,Japan,Unknown,N/A,Alternative,N/A,N/A
740,Intestinal,Sweden,Active,2008,Alternative,Death| Gore| Torture| Cannibalism,2008-present
741,Intestinal Abscess,Czech Republic,Split-up,1996,Dance,N/A,1996-2001
742,Intestinal Disorder,United States,Split-up,1990,Alternative,N/A,1990-?| 2011-?
743,Intestinal Vomit,Brazil,Active,2004,Rock,Horror| Death| Blasphemy| Splatter,2004-present
744,Inthefreak,Italy,Split-up,1999,Alternative,N/A,1999-?
745,Into Darkness,Germany,Active,1995,Pop,Torture| Violence| Death,1995-present
746,Into Ruin,Australia,Active,2014,Pop,N/A,2014-present
747,Into the Fire,Brazil,Active,2010,Pop,Anti-Christianity,2010-present
748,Into the Grey,United States,Active,2003,Alternative,Gore| Religion| Cynicism,2003-2006
749,Into the Nightmare,Poland,Split-up,2000,Alternative,Death| Suffering| Gore,2000-?
750,Intolerable Nudity,United States,Active,N/A,Films de concerts,N/A,N/A
751,Intolerance,Spain,Active,2015,Alternative,N/A,2015-present
752,Intoxication,Spain,Split-up,1991,Alternative,N/A,1990-1991 (as Suffocation)| 1991-?
753,Introspection,Brazil,Active,2006,Alternative,Nietzsche Nihilism,2006-present
754,Introtyl,Mexico,Active,2009,Alternative,Psychiatric disorders,2008-2009 (as Redroot)| 2009-present
755,Introvert,Indonesia,Active,2015,Alternative,Social,2004-2011 (as Tour of Hell)| 2012-2015 (as Tour of Hell)| 2015-present
756,Intumescence,Switzerland,Split-up,1989,Alternative,N/A,1989-?
757,Inui,Germany,Unknown,2004,Alternative,N/A,2004-?
758,Inuksuk,Mexico,Active,2012,Alternative,War| Death,2012-present
759,Invader,Indonesia,Active,2008,Alternative,N/A,2008-present
760,Invalid Existence,United States,Split-up,1991,Dance,Death| Gore| Blasphemy,1991-?
761,Invented God,Poland,Active,2012,Alternative,War| Destruction| Death,2012-present
762,Inversion,United States,Active,1998,Pop,Christianity,1998-present
763,Inversus,United Kingdom,Split-up,N/A,Alternative,N/A,N/A
764,Inverted,Italy,Active,2008,Alternative,War| Death| Human and Natural disasters,2007-2008 (as Cyanide Christ)| 2008-present
765,Inverted,Sweden,Split-up,1991,Dance,Unholy themes,1991 (as Inverted Cross)| 1991-1998
766,Inverted Cross,Sweden,Split-up,2012,Alternative,Death| Evil| Chaos,2012-2013
767,Inverted Liturgy,Italy,Split-up,N/A,Rock,N/A,N/A
768,Inverted Pyramid,Italy,Active,2009,Pop,Conspiracies| Spirituality| War,2009-present
769,Inverted Serenity,Canada,Active,2009,Pop,Philosophy| Consciousness| Gnosticism| Enlightenment| Science| Nature,2009-present
770,Invictrius,Belgium,Split-up,2004,Alternative,N/A,2004-2008
771,Invictus,Japan,Active,N/A,Pop,N/A,N/A
772,Invictus,Netherlands,Split-up,1992,Dance,N/A,1992-?
773,Invidiosus,United States,Active,2006,Alternative,Humorous Puns| Gore and General Humor,2006-present
774,Invidious,Sweden,Unknown,2007,Dance,Death| Salvation,2005-2007 (as Katalysator)| 2007-?
775,Inviscerated,United States,Changed name,2001,Rock,Hate| Religion| Society| Porn| Gore| Death,2001-2004| 2004-present (as Kill All Resistance)
776,Invocated Chaos,Germany,Changed name,2003,Alternative,War| Spiritual| Society,2003-?| ?-present (as Humiliation)
777,Invocation,Australia,Split-up,1997,Pop,Demonology| Satanism| Lovecraft,1997-2005
778,Invocation,Indonesia,Active,N/A,Rock,Infidelity| Doomsday| Religion,N/A
779,Invoid.,Germany,Split-up,2001,Pop,N/A,2001-?
780,Invokation,Germany,Active,2007,Rock,N/A,2007-present
781,Invoking Suffering,Denmark,Split-up,1992,Alternative,Death| Rituals| Satan| Sex,1992-?
782,Inward Infect,Germany,Split-up,N/A,Alternative,N/A,N/A
783,Inward Sanctum,Greece,Split-up,1997,Rock,N/A,1997-?
784,Ion Disruption,Belarus,Active,2008,Rock,Death| War| Destruction,1997-2008 (as Warkraft)| 2008-present
785,Ira,Italy,Active,1997,Alternative,Reality| Decadence| Death,1997-present
786,Ira Projeckts,Chile,Active,2004,Alternative,Hatred| pent-up aggression,2004-present
787,Iranach,United States,Split-up,N/A,Bande originale,N/A,N/A
788,Iron Harvest,Netherlands,Split-up,2012,Alternative,N/A,2012-2016
789,Ironic Reversal,India,Active,2014,Alternative adulte,Sci-fi| Apocalypse,2014-present
790,Irredemption,Spain,Active,1996,Dance,N/A,1996-present
791,Iscariot,Poland,Active,2001,Pop,Dying| Fear| Madness,2001-2011
792,Iscaroth,Sweden,Active,2009,Alternative,Death| Political| Religion,2009-present
793,Ishi,Colombia,Active,2003,Alternative,Christianity,2003-present
794,Isiul,Austria,Unknown,N/A,Alternative,N/A,N/A
795,Iskander,Netherlands,Split-up,N/A,Pop,Death,N/A
796,Islay,Germany,Active,2009,Alternative,Scotch whisky,2009-present
797,Isolate,Brazil,Active,2007,Alternative adulte,Human Mind| Isolation| Afterlife,2007-present
798,Isolated,Poland,Active,1995,Alternative,N/A,1994-1995 (as Bastion)| 1995-present
799,Isolation,Germany,Split-up,1990,Pop,N/A,1990-?
800,Israfel,United States,Active,2005,Alternative adulte,Death| Struggles,2005-present
801,Istengoat,Chile,Active,2011,Dance,Anti-Judeochristianity| Blasphemy,2011-present
802,It Creeps and It Crawls,United Kingdom,Active,2011,Pop,N/A,2011-present
803,Ithaqua,Denmark,Split-up,N/A,Pop,N/A,N/A
804,Itnos,Singapore,Changed name,1992,Alternative,Violence| Blasphemy,? (as Rectum)| ? (as Leviathan)| 1989-1990 (as Mumbra)| 1990-1992 (as Libation)| 1992-1999| 1999-present (as Doxomedon)
805,Iumenta,Norway,Active,2010,Dance,N/A,2008-2010 (as Silence of Death)| 2010-present
806,Izate,Spain,Active,2015,Pop,Basque Paganism,2015-present
807,Izuver,Russia,Active,2005,Alternative,Death| Mysticism,2005-present
808,J.J. Hrubovcak,United States,Active,2013,Alternative,N/A,2013-present
809,Jacob Hansen,Denmark,Split-up,1988,Pop,N/A,1988-?
810,Jane Dark,Serbia,Active,2000,Pop,Madness| Fear| Darkness,2000-2004| 2004 (as Mortus Causa)| 2004-present
811,Jarah,Indonesia,Active,1996,Dance,Hatred| Dominion| Greed,1996-2002| 2013-present
812,Jarawynja,Sweden,Changed name,1997,Rock,N/A,1997-2001| 2001-present (as Solar Dawn)
813,Jason Goes to Hell,Italy,Active,1994,Pop,Society| Hypocrisy,1994-present
814,Jaws,Germany,Active,2005,Pop,Alien,2005-present
815,JEEL,Denmark,Split-up,1993,Pop,N/A,1993-?
816,Jeff Darkness,United States,Active,2011,Pop,N/A,2011-present
817,Jesus the Ripper,Poland,Split-up,1993,Alternative,N/A,1993-?
818,Jitoma Safiama,Colombia,On hold,2013,Dance,Latin American Native Cultures| Life| Death,2013-present
819,JJ Grim,United States,Active,2001,Bande originale,Life| Death| Morbidity| Evil,2001-2003| 2008-present
820,Johansson & Speckmann,International,Active,2013,Alternative,Corruption| Nihilism,2013-present
821,Johnston,Germany,Active,2000,Alternative,Death| Satan| Nonsense| Monkeys & Braunschweig,2000-present
822,Jormundgard,Germany,On hold,1999,Alternative,Nordic Mythology,1999-?
823,Judecca,United States,Split-up,1991,Alternative,Death| Gore| Anti-religion,1991-1998
824,Juggermath,Australia,Split-up,2002,Alternative,N/A,1999-2000 (as Splaatagorphus)| 2002-?
825,Juicy Guts,France,Active,2008,Alternative,N/A,2004-2008 (as Irium)| 2008-present
826,Jumpin' Jesus,Germany,Split-up,1989,Dance,N/A,1989-1991
827,Jungle Rot,United States,Active,1992,Alternative,War| Torture| Murder| Death| Corruption,1992-present
828,Just Before Dawn,International,Active,2012,Alternative,War,2012-present
829,Just Hate,Brazil,Active,1998,Alternative,Death| Anti-Christianity| Destruction| War,1998-present
830,Justivice,Japan,Split-up,N/A,Alternative,N/A,N/A
831,Justonefix,United Kingdom,Active,2004,Alternative,N/A,2004-present
832,K626,United States,Split-up,1994,Alternative,Christianity,1994-?
833,Kaamos,Finland,Changed name,1995,Pop,N/A,1995-1997| 1997-present (as Entwine)
834,Kaamos,Sweden,Split-up,1998,Alternative,Occultism,1998-2006
835,Kaatörsnik,Finland,Active,2002,Alternative,Judgment| Hate| Death,2002-present
836,Kabal,Spain,Active,2005,Alternative,War| Pain| Suffering| death,2005-present
837,Kabbal,Monaco,On hold,1999,Alternative,Death| Ritual| War,1999-?
838,Kadath,Italy,Changed name,1993,Alternative,N/A,1993-1995| 1995-? (as Forgotten Kadath)
839,Kadath,Mexico,Active,1994,Alternative,N/A,1994-present
840,Kadath the Lost City,Poland,Split-up,1999,Alternative,Sadism| Suffering| Pain| Psyhosic,1999-? (as Kadath)| ?-?
841,Kadatheron,Finland,Split-up,1993,Alternative,Life| Agony,1993-?
842,Kadavar,Italy,Split-up,2007,Alternative,Violence| Mankind| Death,2004-2007 (as Bleeding Eyes)| 2007-2009
843,Kaffeine,United States,Split-up,1995,Alternative,N/A,1995-?
844,Kahtahdhen,Mexico,Split-up,1993,Alternative,Epic| Fictional Stories About Ancient Warriors| Religion.,1993-2006
845,Kaiju,United States,Active,2008,Alternative,Monsters,2008-present
846,Kalaazar,United States,Unknown,2003,Alternative,N/A,2003-?
847,Kaligula,Indonesia,Active,N/A,Alternative,Death| Mutilation,N/A
848,Kaliira,Germany,Active,2013,Alternative,Society| Science-Fiction| Psychology,2013-present
849,Kaliyuga,Singapore,Active,N/A,Rock,N/A,N/A
850,Kalopsia,United States,Active,1999,Alternative,Gore,1999-present
851,Kalvaria,International,Split-up,2009,Alternative,N/A,2009-?
852,Kamaloka,Estonia,Split-up,2003,Pop,N/A,2003-2008
853,Kandang Kawat,Indonesia,Active,2010,Alternative,N/A,2010-present
854,Kaos Vortex,Germany,Active,2011,Pop,Humanity,2011-present
855,Kaoscentrica,Chile,On hold,2001,Alternative,Araucanians| Chilean History| Southern Rites,2001-present
856,Kaoz,Ukraine,Split-up,2006,Alternative,Satanism| Chaos,1998-2001 (as Igael)| 2001-2006 (as Reliquium)| 2006-2009
857,Kaptivity,Italy,Active,2008,Alternative,N/A,2003-2007 (as CandleLight)| 2007-2008 (as Decline)| 2008-present
858,Kar,Slovakia,Split-up,1990,Alternative,N/A,1990-?
859,Karambole,Germany,Split-up,2005,Alternative,N/A,2005-2010
860,Karas,France,Active,2009,Alternative,N/A,2009-present
861,Karcharoth,Poland,Active,2013,Alternative,N/A,2013-present
862,Karehgod,Netherlands,Split-up,2004,Alternative,Darkness| Gore| War,2004-2006
863,Karma,Colombia,Unknown,1999,Alternative,Death| Drugs| Thoughts| Reality,1999-?
864,Karmage,Brazil,Unknown,2004,Pop,N/A,2004-?
865,Karmageddon,Switzerland,Active,2011,Alternative,N/A,2011-present
866,Karmak,Spain,Active,2001,Alternative,N/A,2001-present
867,Karnage,Uruguay,Active,N/A,Rock,Death| Insanity| Gore,2010-present
868,Karnak,Indonesia,Active,2009,Rock,Death| Torture| Spell,2009-present
869,Karnarium,Sweden,Split-up,1998,Rock,Darkness| Evil| Occultism,1998-2013
870,Karras,Argentina,Active,2008,Rock,Death| Religion| Society,2008-present
871,Karybdis,Sweden,Split-up,2007,Rock,N/A,2007-?
872,Kassiel,Ecuador,Split-up,1994,Rock,N/A,1994-?
873,Kasvoton,Finland,Active,2010,Soundtrack,Death| Despair,2010-present
874,Katakombs,Germany,Active,2015,Alternative,Death| Nature,2015-present
875,Kataleptic,United Kingdom,Split-up,2008,Rock,Abuse| Torture| Nihilism,2008-2016
876,Kataleptik,Sweden,Unknown,2000,Rock,N/A,2000-?
877,Katalysator,Sweden,Changed name,2005,Rock,Zombies| Death,2005-2007| 2007-present (as Invidious)
878,Kataphrakt,Germany,Active,N/A,Alternative,History| Battles,N/A
879,Kataplex,Germany,Split-up,1999,Rock,Death| Murder| Blood| Insanity,1999-?
880,Kataplexie,Austria,Active,2008,Rock,N/A,2008-present
881,Katarakt,Austria,Split-up,1995,Dance,Death| Horror,1995-?
882,KatarSIS,Spain,Active,2001,Rock,Human behaviour| religion| society,2001-present
883,Katastrofy,Brazil,Active,2006,Rock,Blasphemies| Death| Anti-religion,2006-present
884,Katharsis,Belarus,Split-up,N/A,Alternative,N/A,N/A
885,Katharsis,Czech Republic,Split-up,1998,Rock,N/A,1998-?
886,Katharzys,Costa Rica,Changed name,2002,Dance,Life & Death| Fear| Existence,2002-2008| 2008-present (as Catarsis Incarne)
887,Kathgor,Malaysia,Active,2007,Rock,Death| Darkness| Horror,2007-present
888,Kause & Effect,Mexico,Active,2011,Alternative,N/A,2011-present
889,Kayotik,United States,Active,2006,Rock,Government| Death| War,2006-present
890,Keep on Rotting,Czech Republic,Active,2003,Rock,N/A,2003-present
891,Keeper of Decay,United States,Split-up,2000,Dance,N/A,2000-?
892,Kejam,Indonesia,Active,2013,Alternative,N/A,2013-present
893,Keks,Sweden,Split-up,1990,Alternative,Occult| Satanism,1990-1992
894,Kelevra,Canada,Active,N/A,Dance,N/A,2009-present
895,Kenosis,United States,Split-up,2009,Alternative,Occultism| gore| anti-religous,2009-? (as Armageddon Awaits)| ?-2013
896,Kenotaphian,Sweden,Active,N/A,Rock,N/A,N/A
897,Kerberos,United States,Active,2004,Alternative,N/A,2004-present
898,Kerigma,Argentina,Split-up,1989,Rock,Christianity,1989-?
899,Keringat Darah,Indonesia,Active,N/A,Dance,N/A,N/A
900,Kever,Israel,Active,2013,Alternative,Death,2007-2013 (as Morbid Tendency)| 2013-present
901,Khagan,Austria,Split-up,1997,Dance,War| Death,1997-2006
902,Khanus,Finland,Active,2015,Rock,Shamanism| Folklore,2015-present
903,Khaos of Death,Spain,Active,2012,Rock,N/A,2012-present
904,Khaosick,Germany,Changed name,2001,Rock,Pain| Hate,2001-2005| 2005-present (as Warfield Within)
905,Khaoz,Netherlands,Active,2008,Alternative,N/A,2008-present
906,Khert-Neter,Finland,Active,1999,Rock,Egyptian Myths| Personal Themes,1999-present
907,Khrophus,Brazil,Active,1993,Alternative,Death| Violence| Darkness,1993-present
908,Kiblat,Indonesia,Split-up,N/A,Alternative,N/A,N/A
909,Kilhumanity,United States,Split-up,2004,Rock,Death| Murder| Violence| Killers,2002-2004 (as Inhumanity)| 2004-2007
910,Kilhwch,United States,Split-up,1989,Alternative,N/A,1989-?
911,Kill,Poland,Active,2008,Pop,Death| Torture| Murder| Misanthropy,2008-present
912,Kill All Resistance,United States,Active,2001,Alternative,Hate| Religion| Society| Porn| Gore| Death,2001-2004 (as Inviscerated)| 2004-present
913,Kill by Numbers,United Kingdom,Split-up,2003,Alternative,Serial killers| Gore| Death,2003-?
914,Kill the Freak,United Kingdom,Active,2013,Alternative,N/A,2013-present
915,Kill the Messenger,United States,Unknown,2000,Alternative,N/A,2000-?
916,Killchain,India,Active,2014,Alternative,N/A,2014-present
917,Killchain,Slovakia,Active,2005,Alternative,Gore| killings,2005-present
918,KillDead,Russia,Split-up,1990,Alternative,Death| Darkness,1990-?
919,Killemboth,Estonia,Split-up,2000,Alternative,N/A,2000-?
920,Killer Corpse,Malaysia,Active,2011,Rock,Doom| War| Violence,2011-present
921,Killer Instinct,United States,Split-up,2000,Alternative,N/A,2000-?
922,Killer of Gods,Indonesia,Active,2011,Alternative,Death| Gods| Hell,2011-2013 (as Killer of God)| 2013-present
923,Killers of Faith,Brazil,Active,2010,Pop,Anti-religion,2010-present
924,Killing Addiction,United States,Active,1988,Alternative,Philosophy| Religion| Society,1989-1998| 2006-present
925,Killing Factor,United States,Split-up,N/A,Alternative,Suffering| Government| Life,N/A
926,Killing for Company,Norway,Active,2004,Alternative,Religion| War| Torture| Death. Fictional & Non-fictional,2004| 2014-present
927,Killing God Kings,United States,Active,2010,Alternative,N/A,2010-present
928,Killing Mode,United Kingdom,Split-up,1997,Alternative,Death| Hate| War,1997-2006
929,Killing Spree,Germany,Active,2001,Alternative,N/A,?-1990 (as Necrophenistic Nightmare)| 1990-1998 (as Enslaved)| 2001-present
930,Killtheslavemaster,United States,Unknown,1996,Alternative,Anti-Civilization| Primitivist,1996-?
931,Killzone,United States,Active,2007,Alternative,N/A,2007-present
932,Kimaira,Netherlands,Unknown,1996,Pop,Death| Mental diseases,1996-?
933,Kinesthesis,Australia,Active,N/A,Rock,N/A,N/A
934,King Carnage,United States,Changed name,2012,Alternative,Death| Destruction| Murder,1992-1996 (as Nepenthe)| 1996-2012 (as Ligeia)| 2012-2013| 2013-2014 (as Ligeia)
935,King Death,Czech Republic,Changed name,1992,Alternative,N/A,1992-1995| 1995-present (as Fatality)
936,King Pariah,United States,Active,2012,Alternative,N/A,2012-present
937,King Stench,United States,Active,2008,Pop,N/A,2008-present
938,Kingdom,Poland,Active,2003,Pop,Dark Side| Anti-Christianity| Blasphemy,2003-present
939,Kingdom of Blood,Colombia,Active,2006,Pop,Conflicts| Death| Immolation,2006-present
940,Kingdom of Maggots,Brazil,Active,2002,Pop,Violence,2002-present
941,Kingdoms of Flesh,United States,Changed name,2013,Alternative,Dark Souls,2013-2014| 2014-present (as Soulmass)
942,Kinnara,Germany,Active,2007,Pop,N/A,2007-present
943,Kirios,Colombia,Active,1994,Alternative,Paganism (Early)| Psychology| Manipulation (Later),1994-1997| 2003-present
944,Kitten Remains,Hungary,Split-up,1989,Pop,N/A,1989-?
945,Klan,Czech Republic,Active,2004,Alternative,N/A,2004-2011
946,Klast,United States,Active,N/A,Dance,N/A,N/A
947,Klyster,Denmark,Split-up,1996,Alternative,Hate,1996-?
948,Knell,Chile,Active,2004,Alternative,Death| Instrospection| Stories,2004-present
